timestamp,cpu_power_watt,gpu_power_watt,memory_used_mb,disk_read_mb_s,disk_write_mb_s,gpu_usage_percent,gpu_model,system_power_watt,device_id,user_id,agent_version,os_type,os_version,location,cpu_model,cpu_count,total_memory,disk_partitions,network_interfaces,platform_machine,platform_architecture,is_ai_spike,system_power_kw,usage_pattern,is_anomaly,anomaly_reason
2025-10-29T01:47:27.470Z,18.69,10.0,12427.66796875,0.0,0.10999999999999988,0.0,Generic GPU,117.85,233497587702774,ckklab,v1.4.0,Windows,10.0.26100,Unknown,"Intel64 Family 6 Model 158 Stepping 10, GenuineIntel",6,17015902208,1,3,AMD64,64bit,False,0.11785,idle,False,GPU model unknown and replaced with generic placeholder
2025-10-29T04:59:05.090Z,19.77,10.0,12979.015625,0.08999999999999986,0.33999999999999986,0.0,Generic GPU,121.14,233497587702774,ckklab,v1.4.0,Windows,10.0.26100,Unknown,"Intel64 Family 6 Model 158 Stepping 10, GenuineIntel",6,17015902208,1,3,AMD64,64bit,False,0.12114,idle,False,GPU model unknown and replaced with generic placeholder
2025-10-29T05:00:08.143Z,21.52,10.0,12897.53125,0.08000000000000007,0.8500000000000001,0.0,Generic GPU,122.77,233497587702774,ckklab,v1.4.0,Windows,10.0.26100,Unknown,"Intel64 Family 6 Model 158 Stepping 10, GenuineIntel",6,17015902208,1,3,AMD64,64bit,False,0.12276999999999999,idle,False,GPU model unknown and replaced with generic placeholder
2025-10-29T05:01:11.185Z,22.09,10.0,12998.5,0.0,0.029999999999999805,0.0,Generic GPU,123.79,233497587702774,ckklab,v1.4.0,Windows,10.0.26100,Unknown,"Intel64 Family 6 Model 158 Stepping 10, GenuineIntel",6,17015902208,1,3,AMD64,64bit,False,0.12379000000000001,idle,False,GPU model unknown and replaced with generic placeholder
2025-10-29T05:02:25.287Z,19.21,10.0,12771.33984375,0.0,0.04999999999999982,0.0,Generic GPU,119.73,233497587702774,ckklab,v1.4.0,Windows,10.0.26100,Unknown,"Intel64 Family 6 Model 158 Stepping 10, GenuineIntel",6,17015902208,1,3,AMD64,64bit,False,0.11973,idle,False,GPU model unknown and replaced with generic placeholder
2025-10-29T05:03:28.387Z,22.82,10.0,13221.12890625,0.1200000000000001,0.31000000000000005,0.0,Generic GPU,125.44,233497587702774,ckklab,v1.4.0,Windows,10.0.26100,Unknown,"Intel64 Family 6 Model 158 Stepping 10, GenuineIntel",6,17015902208,1,3,AMD64,64bit,False,0.12544,idle,False,GPU model unknown and replaced with generic placeholder
2025-10-29T05:04:31.444Z,19.77,10.0,13120.64453125,0.0,0.020000000000000018,0.0,Generic GPU,121.67,233497587702774,ckklab,v1.4.0,Windows,10.0.26100,Unknown,"Intel64 Family 6 Model 158 Stepping 10, GenuineIntel",6,17015902208,1,3,AMD64,64bit,False,0.12167,idle,False,GPU model unknown and replaced with generic placeholder
2025-10-29T05:05:34.500Z,21.0,10.0,12932.16796875,0.0,0.08999999999999986,0.0,Generic GPU,122.32,233497587702774,ckklab,v1.4.0,Windows,10.0.26100,Unknown,"Intel64 Family 6 Model 158 Stepping 10, GenuineIntel",6,17015902208,1,3,AMD64,64bit,False,0.12232,idle,False,GPU model unknown and replaced with generic placeholder
2025-10-29T05:08:37.586Z,24.88,10.0,12512.19921875,0.019999999999999574,0.31000000000000005,0.0,Generic GPU,125.04,233497587702774,ckklab,v1.4.0,Windows,10.0.26100,Unknown,"Intel64 Family 6 Model 158 Stepping 10, GenuineIntel",6,17015902208,1,3,AMD64,64bit,False,0.12504,idle,False,GPU model unknown and replaced with generic placeholder
2025-10-29T05:25:40.709Z,23.8,10.0,12262.72265625,0.0,0.08999999999999986,0.0,Generic GPU,122.89,233497587702774,ckklab,v1.4.0,Windows,10.0.26100,Unknown,"Intel64 Family 6 Model 158 Stepping 10, GenuineIntel",6,17015902208,1,3,AMD64,64bit,False,0.12289,idle,False,GPU model unknown and replaced with generic placeholder
2025-10-29T05:26:43.767Z,20.09,10.0,12201.59375,0.0,-4.440892098500626e-16,0.0,Generic GPU,118.53999999999999,233497587702774,ckklab,v1.4.0,Windows,10.0.26100,Unknown,"Intel64 Family 6 Model 158 Stepping 10, GenuineIntel",6,17015902208,1,3,AMD64,64bit,False,0.11853999999999999,idle,False,GPU model unknown and replaced with generic placeholder
2025-10-29T05:27:46.810Z,19.11,10.0,12201.41796875,0.0,0.009999999999999787,0.0,Generic GPU,117.45,233497587702774,ckklab,v1.4.0,Windows,10.0.26100,Unknown,"Intel64 Family 6 Model 158 Stepping 10, GenuineIntel",6,17015902208,1,3,AMD64,64bit,False,0.11745,idle,False,GPU model unknown and replaced with generic placeholder
2025-10-29T05:28:49.853Z,20.16,10.0,12211.62109375,0.0,0.18000000000000016,0.0,Generic GPU,118.66,233497587702774,ckklab,v1.4.0,Windows,10.0.26100,Unknown,"Intel64 Family 6 Model 158 Stepping 10, GenuineIntel",6,17015902208,1,3,AMD64,64bit,False,0.11866,idle,False,GPU model unknown and replaced with generic placeholder
2025-10-29T05:29:52.942Z,19.74,10.0,12104.3984375,0.0,0.06999999999999984,0.0,Generic GPU,117.78,233497587702774,ckklab,v1.4.0,Windows,10.0.26100,Unknown,"Intel64 Family 6 Model 158 Stepping 10, GenuineIntel",6,17015902208,1,3,AMD64,64bit,False,0.11778,idle,False,GPU model unknown and replaced with generic placeholder
2025-10-29T05:30:56.004Z,19.46,10.0,12204.3203125,0.0,-4.440892098500626e-16,0.0,Generic GPU,117.85,233497587702774,ckklab,v1.4.0,Windows,10.0.26100,Unknown,"Intel64 Family 6 Model 158 Stepping 10, GenuineIntel",6,17015902208,1,3,AMD64,64bit,False,0.11785,idle,False,GPU model unknown and replaced with generic placeholder
2025-10-29T05:33:00.080Z,18.79,10.0,12163.46875,0.0,0.06000000000000005,0.0,Generic GPU,116.95,233497587702774,ckklab,v1.4.0,Windows,10.0.26100,Unknown,"Intel64 Family 6 Model 158 Stepping 10, GenuineIntel",6,17015902208,1,3,AMD64,64bit,False,0.11695,idle,False,GPU model unknown and replaced with generic placeholder
2025-10-29T05:34:03.158Z,21.45,10.0,12177.265625,0.0,0.06999999999999984,0.0,Generic GPU,119.96,233497587702774,ckklab,v1.4.0,Windows,10.0.26100,Unknown,"Intel64 Family 6 Model 158 Stepping 10, GenuineIntel",6,17015902208,1,3,AMD64,64bit,False,0.11996,idle,False,GPU model unknown and replaced with generic placeholder
2025-10-29T05:35:06.243Z,17.95,10.0,12170.25390625,0.0,0.06999999999999984,0.0,Generic GPU,116.05000000000001,233497587702774,ckklab,v1.4.0,Windows,10.0.26100,Unknown,"Intel64 Family 6 Model 158 Stepping 10, GenuineIntel",6,17015902208,1,3,AMD64,64bit,False,0.11605000000000001,idle,False,GPU model unknown and replaced with generic placeholder
2025-10-29T05:36:09.322Z,17.68,10.0,12209.90625,0.0,0.009999999999999787,0.0,Generic GPU,115.9,233497587702774,ckklab,v1.4.0,Windows,10.0.26100,Unknown,"Intel64 Family 6 Model 158 Stepping 10, GenuineIntel",6,17015902208,1,3,AMD64,64bit,False,0.1159,idle,False,GPU model unknown and replaced with generic placeholder
2025-10-29T05:37:12.407Z,19.95,10.0,12170.921875,0.0,-4.440892098500626e-16,0.0,Generic GPU,118.27,233497587702774,ckklab,v1.4.0,Windows,10.0.26100,Unknown,"Intel64 Family 6 Model 158 Stepping 10, GenuineIntel",6,17015902208,1,3,AMD64,64bit,False,0.11827,idle,False,GPU model unknown and replaced with generic placeholder
2025-10-29T05:39:16.487Z,19.21,10.0,12293.5703125,0.1299999999999999,0.020000000000000018,0.0,Generic GPU,117.91,233497587702774,ckklab,v1.4.0,Windows,10.0.26100,Unknown,"Intel64 Family 6 Model 158 Stepping 10, GenuineIntel",6,17015902208,1,3,AMD64,64bit,False,0.11791,idle,False,GPU model unknown and replaced with generic placeholder
2025-10-29T05:40:19.587Z,19.18,10.0,12254.7265625,0.0,0.14000000000000012,0.0,Generic GPU,117.73,233497587702774,ckklab,v1.4.0,Windows,10.0.26100,Unknown,"Intel64 Family 6 Model 158 Stepping 10, GenuineIntel",6,17015902208,1,3,AMD64,64bit,False,0.11773,idle,False,GPU model unknown and replaced with generic placeholder
2025-10-29T05:41:34.677Z,17.82,10.0,12319.45703125,0.0,0.08999999999999986,0.0,Generic GPU,116.47,233497587702774,ckklab,v1.4.0,Windows,10.0.26100,Unknown,"Intel64 Family 6 Model 158 Stepping 10, GenuineIntel",6,17015902208,1,3,AMD64,64bit,False,0.11647,idle,False,GPU model unknown and replaced with generic placeholder
2025-10-29T05:42:37.740Z,18.38,10.0,12282.2890625,0.0,0.10999999999999988,0.0,Generic GPU,116.95,233497587702774,ckklab,v1.4.0,Windows,10.0.26100,Unknown,"Intel64 Family 6 Model 158 Stepping 10, GenuineIntel",6,17015902208,1,3,AMD64,64bit,False,0.11695,idle,False,GPU model unknown and replaced with generic placeholder
2025-10-29T05:43:40.782Z,19.43,10.0,12288.6328125,0.0,0.009999999999999787,0.0,Generic GPU,118.14,233497587702774,ckklab,v1.4.0,Windows,10.0.26100,Unknown,"Intel64 Family 6 Model 158 Stepping 10, GenuineIntel",6,17015902208,1,3,AMD64,64bit,False,0.11814,idle,False,GPU model unknown and replaced with generic placeholder
2025-10-29T05:44:43.855Z,20.89,10.0,12154.3203125,0.0,0.1200000000000001,0.0,Generic GPU,119.25,233497587702774,ckklab,v1.4.0,Windows,10.0.26100,Unknown,"Intel64 Family 6 Model 158 Stepping 10, GenuineIntel",6,17015902208,1,3,AMD64,64bit,False,0.11925,idle,False,GPU model unknown and replaced with generic placeholder
2025-10-29T05:45:46.910Z,20.72,10.0,12278.8125,0.0,0.040000000000000036,0.0,Generic GPU,119.53,233497587702774,ckklab,v1.4.0,Windows,10.0.26100,Unknown,"Intel64 Family 6 Model 158 Stepping 10, GenuineIntel",6,17015902208,1,3,AMD64,64bit,False,0.11953,idle,False,GPU model unknown and replaced with generic placeholder
2025-10-29T05:46:49.982Z,19.67,10.0,12296.83203125,0.0,0.06000000000000005,0.0,Generic GPU,118.44,233497587702774,ckklab,v1.4.0,Windows,10.0.26100,Unknown,"Intel64 Family 6 Model 158 Stepping 10, GenuineIntel",6,17015902208,1,3,AMD64,64bit,False,0.11844,idle,False,GPU model unknown and replaced with generic placeholder
2025-10-29T05:47:53.078Z,18.41,10.0,12273.27734375,0.0,0.08000000000000007,0.0,Generic GPU,116.95,233497587702774,ckklab,v1.4.0,Windows,10.0.26100,Unknown,"Intel64 Family 6 Model 158 Stepping 10, GenuineIntel",6,17015902208,1,3,AMD64,64bit,False,0.11695,idle,False,GPU model unknown and replaced with generic placeholder
2025-10-29T05:48:56.171Z,17.25,10.0,12198.58203125,0.0,-4.440892098500626e-16,0.0,Generic GPU,115.38,233497587702774,ckklab,v1.4.0,Windows,10.0.26100,Unknown,"Intel64 Family 6 Model 158 Stepping 10, GenuineIntel",6,17015902208,1,3,AMD64,64bit,False,0.11538,idle,False,GPU model unknown and replaced with generic placeholder
2025-10-29T05:51:00.260Z,18.3,10.0,12269.58203125,0.0,0.06999999999999984,0.0,Generic GPU,116.81,233497587702774,ckklab,v1.4.0,Windows,10.0.26100,Unknown,"Intel64 Family 6 Model 158 Stepping 10, GenuineIntel",6,17015902208,1,3,AMD64,64bit,False,0.11681,idle,False,GPU model unknown and replaced with generic placeholder
2025-10-29T05:52:03.360Z,18.52,10.0,12241.69921875,0.0,0.020000000000000018,0.0,Generic GPU,116.95,233497587702774,ckklab,v1.4.0,Windows,10.0.26100,Unknown,"Intel64 Family 6 Model 158 Stepping 10, GenuineIntel",6,17015902208,1,3,AMD64,64bit,False,0.11695,idle,False,GPU model unknown and replaced with generic placeholder
2025-10-29T05:53:06.453Z,16.84,10.0,12221.12890625,0.0,0.08000000000000007,0.0,Generic GPU,115.01,233497587702774,ckklab,v1.4.0,Windows,10.0.26100,Unknown,"Intel64 Family 6 Model 158 Stepping 10, GenuineIntel",6,17015902208,1,3,AMD64,64bit,False,0.11501,idle,False,GPU model unknown and replaced with generic placeholder
2025-10-29T05:56:11.560Z,18.27,10.0,12271.140625,0.16000000000000014,0.8199999999999998,0.0,Generic GPU,116.79,233497587702774,ckklab,v1.4.0,Windows,10.0.26100,Unknown,"Intel64 Family 6 Model 158 Stepping 10, GenuineIntel",6,17015902208,1,3,AMD64,64bit,False,0.11679,idle,False,GPU model unknown and replaced with generic placeholder
2025-10-29T05:57:14.620Z,20.23,10.0,12226.44140625,0.0,0.020000000000000018,0.0,Generic GPU,118.79,233497587702774,ckklab,v1.4.0,Windows,10.0.26100,Unknown,"Intel64 Family 6 Model 158 Stepping 10, GenuineIntel",6,17015902208,1,3,AMD64,64bit,False,0.11879,idle,False,GPU model unknown and replaced with generic placeholder
2025-10-29T05:58:17.728Z,17.71,10.0,12224.01171875,0.0,0.040000000000000036,0.0,Generic GPU,115.99000000000001,233497587702774,ckklab,v1.4.0,Windows,10.0.26100,Unknown,"Intel64 Family 6 Model 158 Stepping 10, GenuineIntel",6,17015902208,1,3,AMD64,64bit,False,0.11599000000000001,idle,False,GPU model unknown and replaced with generic placeholder
2025-10-29T05:59:20.794Z,20.09,10.0,12092.12109375,0.0,0.020000000000000018,0.0,Generic GPU,118.13,233497587702774,ckklab,v1.4.0,Windows,10.0.26100,Unknown,"Intel64 Family 6 Model 158 Stepping 10, GenuineIntel",6,17015902208,1,3,AMD64,64bit,False,0.11813,idle,False,GPU model unknown and replaced with generic placeholder
2025-10-29T06:00:23.859Z,21.04,10.0,12170.78515625,0.0,0.14000000000000012,0.0,Generic GPU,119.48,233497587702774,ckklab,v1.4.0,Windows,10.0.26100,Unknown,"Intel64 Family 6 Model 158 Stepping 10, GenuineIntel",6,17015902208,1,3,AMD64,64bit,False,0.11948,idle,False,GPU model unknown and replaced with generic placeholder
2025-10-29T06:01:26.904Z,21.31,10.0,12253.09375,0.0,0.1200000000000001,0.0,Generic GPU,120.09,233497587702774,ckklab,v1.4.0,Windows,10.0.26100,Unknown,"Intel64 Family 6 Model 158 Stepping 10, GenuineIntel",6,17015902208,1,3,AMD64,64bit,False,0.12009,idle,False,GPU model unknown and replaced with generic placeholder
2025-10-29T06:02:29.987Z,18.93,10.0,12209.796875,0.0,0.48,0.0,Generic GPU,117.29000000000002,233497587702774,ckklab,v1.4.0,Windows,10.0.26100,Unknown,"Intel64 Family 6 Model 158 Stepping 10, GenuineIntel",6,17015902208,1,3,AMD64,64bit,False,0.11729000000000002,idle,False,GPU model unknown and replaced with generic placeholder
2025-10-29T06:03:33.050Z,22.82,10.0,12254.6484375,0.0,0.04999999999999982,0.0,Generic GPU,121.77,233497587702774,ckklab,v1.4.0,Windows,10.0.26100,Unknown,"Intel64 Family 6 Model 158 Stepping 10, GenuineIntel",6,17015902208,1,3,AMD64,64bit,False,0.12176999999999999,idle,False,GPU model unknown and replaced with generic placeholder
2025-10-29T06:04:36.089Z,19.39,10.0,12264.60546875,0.0,0.06000000000000005,0.0,Generic GPU,118.0,233497587702774,ckklab,v1.4.0,Windows,10.0.26100,Unknown,"Intel64 Family 6 Model 158 Stepping 10, GenuineIntel",6,17015902208,1,3,AMD64,64bit,False,0.118,idle,False,GPU model unknown and replaced with generic placeholder
2025-10-29T06:05:39.158Z,18.52,10.0,12310.8671875,0.0,-4.440892098500626e-16,0.0,Generic GPU,117.21,233497587702774,ckklab,v1.4.0,Windows,10.0.26100,Unknown,"Intel64 Family 6 Model 158 Stepping 10, GenuineIntel",6,17015902208,1,3,AMD64,64bit,False,0.11721,idle,False,GPU model unknown and replaced with generic placeholder
2025-10-29T06:06:42.258Z,21.39,10.0,12265.765625,0.0,0.2200000000000002,0.0,Generic GPU,120.23,233497587702774,ckklab,v1.4.0,Windows,10.0.26100,Unknown,"Intel64 Family 6 Model 158 Stepping 10, GenuineIntel",6,17015902208,1,3,AMD64,64bit,False,0.12023,idle,False,GPU model unknown and replaced with generic placeholder
2025-10-29T06:07:45.340Z,18.55,10.0,12260.82421875,0.0,0.020000000000000018,0.0,Generic GPU,117.06,233497587702774,ckklab,v1.4.0,Windows,10.0.26100,Unknown,"Intel64 Family 6 Model 158 Stepping 10, GenuineIntel",6,17015902208,1,3,AMD64,64bit,False,0.11706,idle,False,GPU model unknown and replaced with generic placeholder
2025-10-29T06:08:48.813Z,19.74,10.0,12380.7421875,0.0,0.10000000000000009,0.0,Generic GPU,118.83000000000001,233497587702774,ckklab,v1.4.0,Windows,10.0.26100,Unknown,"Intel64 Family 6 Model 158 Stepping 10, GenuineIntel",6,17015902208,1,3,AMD64,64bit,False,0.11883000000000002,idle,False,GPU model unknown and replaced with generic placeholder
2025-10-29T06:09:51.892Z,16.91,10.0,12370.38671875,0.0,0.08000000000000007,0.0,Generic GPU,115.65,233497587702774,ckklab,v1.4.0,Windows,10.0.26100,Unknown,"Intel64 Family 6 Model 158 Stepping 10, GenuineIntel",6,17015902208,1,3,AMD64,64bit,False,0.11565,idle,False,GPU model unknown and replaced with generic placeholder
2025-10-29T06:10:54.952Z,21.84,10.0,12425.70703125,0.0,0.10000000000000009,0.0,Generic GPU,121.33,233497587702774,ckklab,v1.4.0,Windows,10.0.26100,Unknown,"Intel64 Family 6 Model 158 Stepping 10, GenuineIntel",6,17015902208,1,3,AMD64,64bit,False,0.12133,idle,False,GPU model unknown and replaced with generic placeholder
2025-10-29T06:11:58.050Z,19.04,10.0,12383.3203125,0.0,0.04999999999999982,0.0,Generic GPU,118.07,233497587702774,ckklab,v1.4.0,Windows,10.0.26100,Unknown,"Intel64 Family 6 Model 158 Stepping 10, GenuineIntel",6,17015902208,1,3,AMD64,64bit,False,0.11807,idle,False,GPU model unknown and replaced with generic placeholder
2025-10-29T06:13:01.153Z,18.55,10.0,12342.3515625,0.0,0.009999999999999787,0.0,Generic GPU,117.37,233497587702774,ckklab,v1.4.0,Windows,10.0.26100,Unknown,"Intel64 Family 6 Model 158 Stepping 10, GenuineIntel",6,17015902208,1,3,AMD64,64bit,False,0.11737,idle,False,GPU model unknown and replaced with generic placeholder
